ID,pH,Temp_C,DBO5_mgL,DQO_mgL,SST_mgL,N_Total_mgL,P_Total_mgL,Grasas_Aceites_mgL,Conductividad_uScm,OD_mgL,Estado
7215,7.02,39.4,127.2,435.7,172.6,32.1,,36.3,1375.0,5.3,PROBLEMATICO
7216,,33.0,83.4,,114.2,28.3,4.12,42.0,1017.0,4.41,PROBLEMATICO
7217,6.29,28.0,227.9,227.5,92.3,23.1,2.1,38.2,1048.0,1.08,PROBLEMATICO
7218,8.87,30.4,138.0,164.7,177.3,4.8,,6.5,80.0,3.75,TRATABLE
7219,5.66,26.0,,392.0,208.5,31.4,5.49,10.9,1837.0,2.89,GRAVE
7220,4.91,21.4,151.9,106.3,75.6,12.7,0.72,24.0,954.0,,PROBLEMATICO
7221,8.33,33.5,100.2,392.6,83.4,3.6,,13.4,,3.02,TRATABLE
7222,4.27,32.0,,266.3,40.2,12.3,0.56,3.9,1125.0,5.35,PROBLEMATICO
7223,6.76,25.8,151.1,162.0,124.6,18.0,1.6,2.5,853.0,4.74,TRATABLE
7224,10.74,28.4,33.5,340.4,147.6,23.5,,13.9,1286.0,3.89,PROBLEMATICO
7225,6.99,,,180.5,30.3,47.0,4.15,19.6,2989.0,3.21,PROBLEMATICO
7226,5.66,31.2,133.4,255.2,119.5,33.3,6.01,5.0,676.0,,GRAVE
7227,6.93,19.7,201.7,241.7,132.8,25.0,2.76,14.7,1722.0,4.64,PROBLEMATICO
7228,6.94,28.2,,384.0,55.0,16.0,3.19,13.7,970.0,2.97,PROBLEMATICO
7229,7.19,26.2,39.9,278.7,86.6,16.1,3.68,19.9,927.0,3.98,TRATABLE
7230,7.79,32.6,122.3,93.6,67.3,1.6,0.91,2.6,2079.0,3.92,TRATABLE
7231,5.75,32.2,164.1,,186.4,15.9,1.93,2.4,1327.0,5.47,PROBLEMATICO
7232,9.03,33.6,,54.9,140.7,1.0,3.94,39.3,2329.0,4.55,PROBLEMATICO
7233,7.29,21.4,210.8,332.2,25.8,43.1,4.96,10.3,1164.0,4.94,PROBLEMATICO
7234,7.87,,179.0,350.2,235.5,9.2,5.04,,2156.0,4.69,PROBLEMATICO
7235,6.25,32.6,31.3,550.7,3.3,12.6,1.91,6.9,966.0,3.76,PROBLEMATICO
7236,8.54,24.0,28.7,67.4,31.3,40.4,2.11,36.4,,3.45,TRATABLE
7237,6.69,19.4,148.1,485.7,115.5,25.6,,35.7,1506.0,7.03,PROBLEMATICO
7238,7.33,29.7,,98.8,115.0,11.5,3.98,20.4,1283.0,2.91,PROBLEMATICO
7239,5.88,24.3,132.9,253.2,147.3,2.2,2.71,3.9,264.0,7.84,PROBLEMATICO
7240,,35.9,,294.1,21.9,27.3,2.12,10.9,1339.0,7.9,PROBLEMATICO
7241,7.83,,25.8,293.5,229.3,32.0,13.5,55.9,667.0,3.17,GRAVE
7242,6.47,,182.2,194.3,311.5,32.3,0.84,7.7,1772.0,5.65,PROBLEMATICO
7243,,25.2,88.6,271.2,137.8,49.1,3.95,10.8,735.0,5.61,PROBLEMATICO
7244,6.23,35.0,130.6,27.7,171.6,32.0,5.44,4.3,945.0,,PROBLEMATICO
7245,,28.8,215.9,405.7,71.5,26.5,5.07,22.2,483.0,5.36,PROBLEMATICO
7246,6.25,25.0,11.8,295.0,96.5,65.8,5.74,,1903.0,2.57,PROBLEMATICO
7247,6.86,23.0,82.7,,70.4,16.3,5.07,4.4,1499.0,7.43,TRATABLE
7248,7.02,26.6,72.9,199.8,54.2,61.6,3.01,10.9,2793.0,7.86,PROBLEMATICO
7249,4.7,22.1,152.0,191.0,74.2,53.4,4.03,41.0,2082.0,3.44,PROBLEMATICO
7250,5.23,32.1,189.6,344.5,84.2,19.3,2.03,13.5,891.0,3.02,PROBLEMATICO
7251,7.4,18.0,13.2,536.2,5.5,9.3,1.77,11.1,114.0,0.45,PROBLEMATICO
7252,6.12,26.3,119.5,0.9,91.3,10.2,0.05,1.2,761.0,5.47,TRATABLE
7253,8.27,30.1,198.2,9.9,35.8,16.8,6.36,3.4,,4.02,TRATABLE
7254,8.16,28.7,46.9,297.9,218.8,43.5,7.31,15.4,62.0,2.15,PROBLEMATICO
7255,,23.4,114.2,,173.0,22.4,2.24,1.4,605.0,4.83,PROBLEMATICO
7256,9.18,30.3,10.6,272.3,,58.2,3.77,8.4,1911.0,2.84,GRAVE
7257,6.9,22.6,62.3,,237.7,,8.8,3.5,599.0,,PROBLEMATICO
7258,,26.9,105.5,362.0,57.4,43.2,,10.9,588.0,3.12,PROBLEMATICO
7259,6.3,30.3,245.3,198.5,167.0,0.1,,1.5,1563.0,2.89,PROBLEMATICO
7260,9.94,29.3,88.0,32.5,247.0,35.0,4.81,1.1,821.0,4.68,PROBLEMATICO
7261,9.38,23.6,47.4,107.8,50.4,29.0,2.12,6.9,,3.76,TRATABLE
7262,7.01,33.0,149.5,,62.9,,2.45,11.0,1475.0,1.6,PROBLEMATICO
7263,7.46,27.4,26.2,24.1,70.9,9.5,4.71,4.3,767.0,6.84,TRATABLE
7264,8.63,30.7,17.6,243.4,235.7,15.1,5.32,30.6,1740.0,3.74,PROBLEMATICO
7265,6.82,34.6,,260.9,44.7,0.2,1.09,12.3,1684.0,6.22,PROBLEMATICO
7266,6.21,,,,93.5,35.8,7.74,42.3,1428.0,5.07,GRAVE
7267,8.05,,66.7,287.7,62.0,46.2,8.22,33.2,2258.0,0.73,PROBLEMATICO
7268,7.09,28.0,216.1,40.6,121.0,27.1,6.38,2.5,1815.0,5.54,PROBLEMATICO
7269,,31.0,152.0,78.4,35.1,26.2,8.51,,,3.73,PROBLEMATICO
7270,6.0,28.1,7.2,44.3,8.3,46.4,5.91,29.5,666.0,,PROBLEMATICO
7271,,21.0,36.5,408.4,95.9,24.1,4.82,9.5,1308.0,8.9,PROBLEMATICO
7272,7.28,,259.6,665.1,113.0,25.8,4.15,11.5,1152.0,5.46,GRAVE
7273,,28.3,8.4,91.5,251.6,8.7,3.05,5.5,1159.0,4.21,PROBLEMATICO
7274,6.73,29.9,325.3,207.7,146.6,3.0,3.98,26.7,808.0,3.65,PROBLEMATICO
7275,8.72,26.4,68.6,125.2,,22.0,0.88,,1229.0,8.41,TRATABLE
7276,6.16,23.2,262.3,289.8,,3.6,3.75,1.9,2294.0,,PROBLEMATICO
7277,5.73,30.3,92.5,140.5,211.3,6.0,0.49,4.1,1682.0,6.55,PROBLEMATICO
7278,6.92,20.4,192.0,300.9,97.6,38.5,1.6,50.5,1296.0,5.19,GRAVE
7279,6.9,34.3,245.6,369.7,30.7,43.4,7.69,16.6,2067.0,4.82,PROBLEMATICO
7280,7.92,25.8,245.1,29.7,,,7.55,12.4,1709.0,6.54,PROBLEMATICO
7281,6.07,28.2,67.4,298.9,61.0,7.4,1.49,9.5,971.0,4.99,TRATABLE
7282,8.64,29.8,42.8,72.9,187.8,39.0,6.61,45.7,1163.0,4.46,PROBLEMATICO
7283,9.36,,112.7,,176.3,13.4,2.23,23.5,1831.0,5.54,PROBLEMATICO
7284,6.95,20.0,3.0,191.7,25.3,57.3,2.01,3.9,1368.0,,PROBLEMATICO
7285,,,141.5,208.8,318.5,26.7,8.18,21.1,1498.0,5.42,GRAVE
7286,,28.5,,193.8,127.7,43.9,0.72,0.0,323.0,4.74,PROBLEMATICO
7287,8.29,23.8,217.4,160.9,126.4,32.0,1.36,19.6,832.0,3.5,PROBLEMATICO
7288,8.26,23.3,68.7,202.2,178.1,29.8,2.0,8.8,1160.0,5.21,TRATABLE
7289,8.04,25.3,36.8,292.9,119.8,15.4,2.19,14.8,1992.0,3.25,TRATABLE
7290,6.98,20.5,246.1,297.9,,43.7,,,2524.0,2.8,GRAVE
7291,,35.6,136.5,270.7,,38.8,1.16,7.6,,6.79,PROBLEMATICO
7292,,34.4,122.6,146.8,125.4,16.0,5.05,3.0,765.0,6.13,PROBLEMATICO
7293,6.25,29.3,218.5,444.5,131.5,14.1,9.69,11.3,1513.0,6.14,PROBLEMATICO
7294,5.83,25.9,198.4,524.6,190.2,9.2,4.9,17.3,2689.0,7.05,GRAVE
7295,7.15,26.0,51.4,18.1,83.5,36.7,3.34,11.0,503.0,5.89,TRATABLE
7296,6.5,30.8,79.5,279.6,130.5,26.3,6.0,4.5,174.0,1.42,PROBLEMATICO
7297,6.01,35.8,,165.7,143.3,27.2,4.22,6.5,1315.0,6.44,TRATABLE
7298,5.73,24.1,11.8,416.6,156.6,15.5,4.17,16.3,256.0,3.69,PROBLEMATICO
7299,6.14,,172.1,,190.9,48.2,3.75,19.0,,3.45,PROBLEMATICO
7300,8.35,34.7,155.3,259.6,207.8,4.8,4.65,25.7,1747.0,5.69,PROBLEMATICO
7301,6.21,18.1,188.5,339.1,176.7,36.1,2.77,20.6,1046.0,,PROBLEMATICO
7302,6.38,,235.3,196.4,169.7,39.7,0.88,8.8,885.0,5.47,PROBLEMATICO
7303,,25.8,189.7,,291.1,16.3,9.55,25.8,701.0,,GRAVE
7304,7.41,19.2,197.7,341.8,127.1,4.1,5.59,13.2,1245.0,6.29,PROBLEMATICO
7305,7.55,32.6,67.0,417.7,130.5,28.9,1.9,32.7,,4.98,PROBLEMATICO
7306,3.35,31.3,92.4,210.3,66.3,43.5,5.05,23.6,878.0,5.31,GRAVE
7307,8.23,24.1,206.8,227.9,59.9,53.9,0.61,20.6,689.0,2.5,PROBLEMATICO
7308,8.72,33.4,14.9,396.1,177.3,33.8,5.14,9.9,,1.93,PROBLEMATICO
7309,5.74,34.2,128.3,378.0,77.1,,6.23,32.2,1444.0,3.84,PROBLEMATICO
7310,5.83,26.4,166.8,25.2,61.0,,7.1,5.6,2187.0,2.52,GRAVE
7311,6.46,24.7,159.9,273.0,124.0,31.0,5.71,7.7,514.0,7.2,PROBLEMATICO
7312,6.09,38.3,153.2,335.3,121.2,27.8,3.43,64.4,958.0,1.55,GRAVE
7313,7.27,30.6,173.9,226.5,108.5,6.1,7.07,,1855.0,3.08,PROBLEMATICO
7314,4.66,28.3,136.3,318.2,145.1,32.8,2.34,6.4,1532.0,1.04,GRAVE
7315,5.66,33.8,11.7,234.2,24.6,30.5,4.89,29.5,738.0,,PROBLEMATICO
7316,8.85,28.5,,,,65.7,1.81,14.3,274.0,3.24,PROBLEMATICO
7317,5.89,24.5,145.6,14.0,174.9,23.6,4.69,28.3,2495.0,,PROBLEMATICO
7318,8.49,27.4,10.5,,255.8,52.5,8.48,37.1,85.0,5.26,GRAVE
7319,7.43,32.2,244.2,206.0,76.0,47.0,6.32,39.2,326.0,3.93,PROBLEMATICO
7320,4.83,17.0,168.0,284.1,,22.9,6.77,16.2,1331.0,5.0,PROBLEMATICO
7321,7.76,25.6,4.2,249.3,55.4,44.3,7.34,6.1,1873.0,5.38,PROBLEMATICO
7322,6.86,33.9,46.4,101.4,,7.9,3.79,1.5,586.0,6.08,TRATABLE
7323,6.45,24.4,69.2,165.9,5.7,18.5,1.38,37.8,1678.0,6.5,TRATABLE
7324,7.29,34.7,69.2,309.2,157.5,12.4,1.56,18.6,493.0,3.73,TRATABLE
7325,7.57,34.1,146.4,327.6,,19.2,0.75,29.8,1761.0,,PROBLEMATICO
7326,7.85,26.7,,643.9,87.8,14.1,4.35,13.9,1769.0,5.26,PROBLEMATICO
7327,8.41,24.2,221.5,,131.1,54.4,2.1,13.3,586.0,7.94,PROBLEMATICO
7328,7.49,25.6,214.1,550.7,90.8,16.5,4.53,3.8,1815.0,7.04,PROBLEMATICO
7329,5.35,40.3,175.7,95.1,0.1,36.2,,7.0,513.0,8.31,PROBLEMATICO
7330,6.43,36.4,124.0,337.9,296.1,26.4,0.69,39.1,536.0,7.75,PROBLEMATICO
7331,10.53,27.6,204.4,282.0,143.0,17.1,6.64,5.3,1097.0,2.21,GRAVE
7332,7.87,24.0,95.2,227.3,297.0,1.0,2.74,33.8,1470.0,4.42,PROBLEMATICO
7333,9.84,27.6,54.8,249.0,28.3,,,2.0,1731.0,4.27,PROBLEMATICO
7334,8.67,,227.1,137.9,93.9,17.8,1.08,19.7,1951.0,4.73,TRATABLE
7335,7.29,20.8,148.6,412.7,140.2,13.5,3.83,12.7,472.0,4.86,PROBLEMATICO
7336,7.36,27.4,58.4,98.3,,4.5,4.25,9.7,,6.69,PROBLEMATICO
7337,6.96,33.6,82.4,307.2,296.3,9.6,3.96,9.3,891.0,1.08,PROBLEMATICO
7338,4.91,18.0,53.7,386.1,88.1,30.3,7.11,10.3,1191.0,6.09,PROBLEMATICO
7339,7.02,31.1,302.0,499.2,58.5,37.8,4.19,7.9,2811.0,5.69,PROBLEMATICO
7340,8.45,33.9,120.4,424.9,131.0,1.0,2.26,27.2,,5.7,PROBLEMATICO
7341,6.28,24.2,134.2,353.0,251.5,6.2,3.04,18.4,514.0,3.31,PROBLEMATICO
7342,7.49,35.5,184.9,135.2,145.1,25.9,7.24,,1021.0,5.71,PROBLEMATICO
7343,8.02,23.5,,108.6,163.3,19.1,0.64,22.7,1792.0,3.47,TRATABLE
7344,5.91,29.2,218.7,45.1,250.6,15.4,4.48,10.5,1539.0,5.03,PROBLEMATICO
7345,6.46,25.5,65.3,27.8,234.5,38.6,4.62,,1928.0,4.18,TRATABLE
7346,5.78,25.5,,249.7,238.3,25.3,,,,3.02,GRAVE
7347,6.01,23.9,,119.1,202.2,7.2,4.34,30.3,2464.0,1.2,PROBLEMATICO
7348,5.45,30.5,213.4,465.9,275.2,7.6,1.13,3.0,638.0,6.22,GRAVE
7349,5.92,31.2,104.7,145.8,18.5,7.9,4.58,32.4,1725.0,3.56,PROBLEMATICO
7350,8.7,26.7,14.2,267.0,364.9,18.8,6.16,,24.0,4.07,PROBLEMATICO
7351,,20.2,93.6,,246.0,,4.42,8.6,1964.0,5.4,PROBLEMATICO
7352,7.15,29.0,62.8,2.7,124.0,9.7,7.29,5.4,116.0,2.02,PROBLEMATICO
7353,6.4,29.1,174.1,446.1,251.0,15.0,0.08,33.3,119.0,5.74,PROBLEMATICO
7354,8.41,25.9,148.2,375.2,105.3,57.7,3.53,12.1,1067.0,5.05,PROBLEMATICO
7355,8.57,36.3,30.8,395.9,187.5,2.6,4.02,28.9,1852.0,1.85,PROBLEMATICO
7356,8.04,19.2,118.6,357.1,199.2,16.3,6.32,6.3,,3.24,PROBLEMATICO
7357,,15.9,192.6,113.3,226.2,23.1,6.7,21.5,829.0,,PROBLEMATICO
7358,6.72,23.3,69.3,116.8,94.0,24.1,4.07,4.6,,6.89,TRATABLE
7359,5.57,30.6,5.4,331.4,228.3,33.2,2.92,33.0,1303.0,6.33,PROBLEMATICO
7360,9.33,21.7,89.8,527.7,95.8,21.1,4.56,9.5,,2.97,GRAVE
7361,6.09,22.1,122.1,319.5,213.1,13.8,0.58,37.5,1212.0,3.35,PROBLEMATICO
7362,7.8,31.8,114.7,426.1,138.2,26.0,2.53,14.1,766.0,2.25,PROBLEMATICO
7363,8.27,29.3,200.0,155.3,42.4,25.8,5.71,16.7,2274.0,5.97,TRATABLE
7364,,28.9,162.9,447.6,66.3,,5.06,56.2,1913.0,2.0,GRAVE
7365,8.25,30.9,,174.5,,33.5,2.01,28.4,652.0,7.98,PROBLEMATICO
7366,7.92,24.9,5.1,293.2,109.6,10.7,,18.5,575.0,4.38,TRATABLE
7367,9.07,25.1,133.0,184.1,261.4,18.4,,6.9,,3.91,GRAVE
7368,6.44,31.0,92.4,,18.7,1.9,1.81,1.4,1886.0,3.54,TRATABLE
7369,5.46,20.3,251.6,412.5,209.6,17.6,4.44,29.1,614.0,3.12,GRAVE
7370,6.39,16.3,135.7,15.8,135.2,10.5,7.6,9.0,2117.0,4.45,PROBLEMATICO
7371,7.25,24.8,59.8,488.6,115.3,,7.97,11.3,949.0,2.65,PROBLEMATICO
7372,7.07,31.7,196.7,677.8,22.2,4.3,1.23,4.5,343.0,6.46,PROBLEMATICO
7373,6.53,28.3,170.7,186.0,161.0,13.4,4.99,,1299.0,6.18,PROBLEMATICO
7374,4.71,,46.1,227.2,39.1,12.6,4.85,,1397.0,4.93,PROBLEMATICO
7375,7.56,16.9,88.6,473.1,76.4,34.1,4.64,27.8,1810.0,6.2,PROBLEMATICO
7376,9.37,28.6,90.2,262.0,125.9,1.0,1.07,37.3,2003.0,2.8,GRAVE
7377,7.56,30.3,230.5,249.3,103.4,22.1,1.77,23.1,1442.0,2.27,PROBLEMATICO
7378,7.73,20.2,138.3,591.5,242.8,23.4,5.03,6.1,1554.0,5.43,PROBLEMATICO
7379,7.69,31.3,185.4,6.2,119.0,38.6,2.85,12.2,1245.0,4.23,PROBLEMATICO
7380,7.48,26.4,75.6,,122.2,6.6,4.27,28.2,1666.0,4.65,TRATABLE
7381,8.12,42.4,150.1,,103.7,1.5,0.96,,,2.42,PROBLEMATICO
7382,7.47,16.1,237.3,41.5,139.1,30.6,2.53,46.5,926.0,4.6,PROBLEMATICO
7383,6.62,33.8,87.5,182.9,85.6,3.1,0.0,15.4,103.0,2.23,PROBLEMATICO
7384,6.04,25.0,130.4,181.2,242.4,12.6,4.79,16.1,2356.0,,PROBLEMATICO
7385,6.7,18.9,2.7,,114.2,17.7,2.96,7.8,758.0,4.4,TRATABLE
7386,7.38,24.4,51.1,374.7,153.3,33.1,4.8,1.5,1953.0,7.3,PROBLEMATICO
7387,6.62,28.4,,53.0,229.2,5.8,2.9,,2081.0,4.85,TRATABLE
7388,7.38,,24.5,125.2,145.2,16.7,4.71,36.0,118.0,3.0,TRATABLE
7389,7.53,35.6,239.0,125.8,13.1,,9.42,5.4,1296.0,6.06,TRATABLE
7390,8.0,34.1,44.6,211.0,97.3,6.5,2.43,11.5,1660.0,2.23,PROBLEMATICO
7391,8.54,22.2,190.8,52.4,127.6,15.6,5.47,9.5,814.0,3.91,PROBLEMATICO
7392,7.09,32.7,136.8,331.3,24.7,38.0,2.02,10.1,243.0,4.16,PROBLEMATICO
7393,5.43,29.0,122.8,125.0,68.8,12.9,3.6,35.1,2238.0,0.0,PROBLEMATICO
7394,6.59,23.7,253.8,356.0,133.2,15.4,5.42,31.9,1654.0,7.42,GRAVE
7395,7.05,25.9,83.5,249.5,341.2,37.9,4.85,10.0,1229.0,5.58,PROBLEMATICO
7396,4.8,23.5,102.3,74.8,,,6.07,48.2,,1.65,GRAVE
7397,8.67,27.2,22.8,499.9,155.8,46.1,6.87,22.8,490.0,,PROBLEMATICO
7398,7.17,23.4,56.5,505.2,309.1,7.5,5.99,,1317.0,2.25,GRAVE
7399,7.46,21.9,12.5,302.3,198.8,17.1,6.76,18.9,874.0,5.12,PROBLEMATICO
7400,8.64,29.4,121.6,,,,4.64,4.1,1353.0,2.66,PROBLEMATICO
7401,,30.1,54.7,59.9,99.3,9.1,1.81,32.0,1461.0,4.64,TRATABLE
7402,7.69,26.1,200.7,442.8,13.5,17.8,6.4,32.1,,5.3,PROBLEMATICO
7403,6.87,33.8,100.8,398.1,166.2,44.7,2.86,19.3,2385.0,5.01,PROBLEMATICO
7404,6.78,25.7,90.8,103.5,322.2,8.1,6.08,5.1,671.0,3.86,PROBLEMATICO
7405,6.07,25.5,91.2,126.4,291.3,30.7,0.23,34.6,536.0,3.17,PROBLEMATICO
7406,9.0,30.3,,332.2,205.8,35.4,2.93,17.4,1494.0,3.95,PROBLEMATICO
7407,6.55,26.3,82.3,38.4,71.3,23.4,1.93,1.1,,6.53,TRATABLE
7408,7.84,27.4,43.4,137.4,15.1,22.7,5.18,25.4,499.0,5.45,TRATABLE
7409,4.75,14.4,209.0,62.7,57.8,3.6,2.27,7.7,960.0,6.03,PROBLEMATICO
7410,8.42,27.1,,68.5,161.8,,3.95,2.8,122.0,4.44,TRATABLE
7411,8.26,17.9,85.5,120.4,92.9,,,39.9,,6.54,TRATABLE
7412,7.12,20.9,158.6,413.1,,29.0,7.08,35.4,,7.48,PROBLEMATICO
7413,6.73,20.3,148.7,65.8,8.9,12.7,5.41,34.2,,1.78,PROBLEMATICO
7414,,21.8,39.6,328.0,127.1,14.9,4.87,21.0,436.0,2.38,PROBLEMATICO
7415,9.75,24.3,187.9,296.4,63.3,18.4,4.06,15.6,620.0,6.66,PROBLEMATICO
7416,4.88,24.6,168.4,424.3,239.1,31.0,1.7,46.3,1999.0,7.95,GRAVE
7417,7.94,30.3,136.0,296.3,194.3,50.1,1.37,40.8,1900.0,2.29,GRAVE
7418,5.91,28.1,81.2,181.8,56.9,24.0,4.83,13.5,268.0,1.78,PROBLEMATICO
7419,6.98,17.5,83.4,103.2,225.4,9.0,0.24,63.8,51.0,2.99,PROBLEMATICO
7420,6.7,27.4,101.8,428.3,22.3,3.9,3.89,12.7,1262.0,3.53,TRATABLE
7421,6.49,28.6,9.1,339.5,,42.9,,21.9,75.0,4.8,PROBLEMATICO
7422,6.99,25.4,116.5,161.2,51.5,25.2,0.23,40.0,2045.0,6.05,TRATABLE
7423,5.64,26.7,200.3,413.6,58.3,17.8,3.83,21.7,340.0,4.13,PROBLEMATICO
7424,8.24,,198.9,169.7,,23.1,4.02,10.2,,7.96,TRATABLE
7425,4.85,30.8,85.7,,131.9,35.8,10.24,21.9,1346.0,4.41,GRAVE
7426,7.65,19.1,215.8,141.2,99.4,14.6,4.03,14.9,,3.13,TRATABLE
7427,6.61,25.8,291.5,346.1,193.9,10.0,6.63,,1197.0,2.59,GRAVE
7428,5.59,34.5,91.5,71.0,67.7,1.6,5.34,33.1,1422.0,3.63,PROBLEMATICO
7429,7.24,,182.2,196.3,,2.6,4.77,3.8,1324.0,4.88,TRATABLE
7430,5.13,31.3,83.7,132.2,60.3,15.8,6.49,5.7,1858.0,4.25,PROBLEMATICO
7431,7.05,29.7,6.8,297.5,18.0,,0.33,36.7,1415.0,,PROBLEMATICO
7432,5.29,35.3,128.2,319.9,78.8,12.8,3.73,21.8,1716.0,3.87,PROBLEMATICO
7433,7.55,36.6,29.4,51.3,199.6,26.7,,27.2,1730.0,,PROBLEMATICO
7434,5.89,26.4,,323.2,35.6,42.2,1.11,12.7,1963.0,4.96,GRAVE
7435,6.46,22.2,173.8,,106.0,28.9,3.86,19.0,321.0,8.49,TRATABLE
7436,7.35,25.6,206.9,644.6,235.8,57.5,4.28,9.6,135.0,3.88,PROBLEMATICO
7437,6.07,42.5,,157.9,247.2,23.2,3.49,0.5,1674.0,5.25,TRATABLE
7438,6.93,19.2,29.7,438.9,71.8,19.2,1.34,27.3,2575.0,,PROBLEMATICO
7439,5.18,24.6,73.3,286.2,,15.1,1.74,19.3,1428.0,7.9,PROBLEMATICO
7440,7.76,19.9,142.9,293.5,34.8,57.9,3.04,46.0,1020.0,3.35,PROBLEMATICO
7441,9.12,27.6,62.6,40.1,117.2,44.0,,25.2,,3.68,PROBLEMATICO
7442,10.35,21.0,180.4,401.8,23.0,4.3,4.29,36.2,2125.0,1.32,GRAVE
7443,7.11,26.5,184.0,258.8,183.3,60.0,4.6,8.0,1671.0,0.75,PROBLEMATICO
7444,7.95,17.2,120.4,334.6,420.1,31.0,3.31,6.3,1175.0,,PROBLEMATICO
7445,4.86,30.1,44.3,233.7,324.4,24.3,1.48,25.5,,3.39,GRAVE
7446,8.8,33.1,274.3,273.4,224.6,31.3,3.08,1.0,1384.0,,PROBLEMATICO
7447,7.93,25.1,100.9,90.3,79.3,4.7,1.5,6.9,,5.55,TRATABLE
7448,6.42,26.3,363.8,222.5,123.2,25.5,5.08,25.7,1495.0,4.9,GRAVE
7449,8.48,26.2,178.7,174.4,251.6,16.4,3.96,5.4,1504.0,5.47,PROBLEMATICO
7450,6.69,27.9,101.1,123.0,215.0,15.5,3.22,,1869.0,5.74,TRATABLE
7451,6.45,26.8,160.3,274.2,148.3,39.3,,2.3,1165.0,,PROBLEMATICO
7452,7.57,30.8,61.7,315.4,154.2,17.2,6.07,21.3,1380.0,3.35,PROBLEMATICO
7453,5.72,33.2,212.4,295.1,245.6,23.8,,6.7,2575.0,2.86,GRAVE
7454,8.23,22.9,351.0,231.6,270.3,27.9,1.0,28.6,755.0,3.98,GRAVE
7455,5.73,25.5,68.0,324.0,10.1,39.0,7.06,53.1,801.0,3.71,GRAVE
7456,,31.5,94.1,293.6,162.7,44.8,4.42,15.1,599.0,4.86,PROBLEMATICO
7457,5.91,19.9,110.5,267.6,197.8,22.3,2.93,22.8,1421.0,6.5,PROBLEMATICO
7458,7.91,17.1,198.8,279.9,86.8,,1.65,19.8,1463.0,,TRATABLE
7459,6.26,28.1,309.5,462.9,267.9,56.3,2.04,1.8,142.0,4.87,GRAVE
7460,5.38,29.5,154.5,33.1,111.1,24.4,3.23,20.7,1875.0,,PROBLEMATICO
7461,6.27,23.4,,192.7,,37.6,0.92,19.0,443.0,5.16,GRAVE
7462,6.96,24.1,135.3,,103.2,19.4,4.11,46.9,1515.0,5.51,PROBLEMATICO
7463,,23.2,160.6,34.9,165.9,32.3,3.5,19.5,1289.0,7.82,PROBLEMATICO
7464,5.62,22.7,149.5,498.9,163.7,22.7,6.06,37.4,,4.09,GRAVE
7465,9.53,30.5,229.8,295.9,306.3,45.1,3.55,22.7,457.0,5.79,GRAVE
7466,5.97,21.1,82.0,422.2,214.1,29.5,1.46,5.8,415.0,2.79,PROBLEMATICO
7467,6.61,25.7,193.6,451.6,94.2,3.6,3.07,6.3,2025.0,3.78,PROBLEMATICO
7468,6.56,22.5,,324.2,112.8,4.4,0.61,,112.0,3.79,PROBLEMATICO
7469,6.49,19.7,94.4,151.9,112.4,18.1,2.21,28.7,1978.0,5.44,PROBLEMATICO
7470,,31.4,62.7,276.6,,32.9,1.17,13.4,36.0,8.66,PROBLEMATICO
7471,8.14,24.4,127.9,288.1,45.5,45.5,10.27,,330.0,2.93,PROBLEMATICO
7472,6.63,27.9,91.6,54.4,,10.0,2.98,40.3,1408.0,6.73,PROBLEMATICO
7473,5.52,19.5,221.9,,276.8,17.8,6.15,7.1,1176.0,6.21,GRAVE
7474,8.53,,40.9,333.1,272.4,29.8,3.08,5.7,32.0,4.97,PROBLEMATICO
7475,6.89,30.8,35.8,25.1,16.5,22.8,3.32,13.8,,,TRATABLE
7476,9.08,39.9,2.2,621.1,,24.6,2.57,16.4,,5.94,PROBLEMATICO
7477,4.31,17.1,209.5,297.4,80.7,2.2,1.91,1.8,940.0,,PROBLEMATICO
7478,7.23,26.0,32.7,493.3,37.9,43.5,,13.4,1634.0,3.64,TRATABLE
7479,9.3,29.1,155.8,255.6,13.7,7.3,5.12,,965.0,6.74,PROBLEMATICO
7480,6.58,23.9,93.5,385.3,175.1,27.5,3.82,22.6,1891.0,4.23,PROBLEMATICO
7481,6.73,31.2,194.2,,136.2,,7.99,3.9,397.0,4.77,PROBLEMATICO
7482,,22.7,99.2,431.0,32.1,,3.34,8.1,1611.0,2.5,PROBLEMATICO
7483,6.33,27.8,368.8,116.9,257.0,8.6,3.17,2.8,312.0,,PROBLEMATICO
7484,6.63,24.4,290.8,,97.8,5.4,4.12,40.2,1415.0,1.65,GRAVE
7485,6.59,33.1,91.6,370.4,88.2,37.4,,9.5,,4.79,PROBLEMATICO
7486,,23.6,79.3,222.3,241.7,31.9,4.35,0.2,456.0,1.65,PROBLEMATICO
7487,8.47,25.2,401.9,176.4,181.1,28.0,8.04,52.6,1465.0,1.01,GRAVE
7488,7.55,31.7,22.9,196.2,135.8,42.3,11.73,47.3,1595.0,,GRAVE
7489,7.3,,115.0,300.9,90.5,28.2,,30.1,1550.0,5.41,PROBLEMATICO
7490,7.97,,122.0,468.5,197.0,15.3,5.13,25.1,678.0,2.56,GRAVE
7491,6.68,17.9,119.8,153.8,96.7,31.3,2.0,0.6,945.0,4.24,PROBLEMATICO
7492,6.07,21.6,36.5,56.3,117.2,30.1,8.15,34.6,2396.0,,PROBLEMATICO
7493,6.28,28.9,164.7,697.2,22.4,30.6,,21.6,581.0,5.36,GRAVE
